Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty
1,1640,26.25,3,151,2,43,811,8.11,812,16.24
2,151,3.06,2,151,0,43,73,0.73,72,1.44
3,1033,-2.76,1,151,1,43,542,5.42,530,10.60
4,150,2.31,1,151,0,43,82,0.82,74,1.48
5,405,4.46,2,151,0,43,209,2.09,195,3.90
6,522,5.57,2,151,0,43,251,2.51,257,5.14
7,1255,24.74,7,151,1,43,633,6.33,599,11.98
8,224,-0.88,0,151,0,43,120,1.20,112,2.24
9,24,-1.02,1,151,0,43,11,0.11,14,0.28
10,59,-1.57,0,151,0,43,31,0.31,26,0.52
11,63,-1.71,0,151,0,43,33,0.33,32,0.64
12,437,7.34,4,151,0,43,240,2.40,198,3.96
13,55,2.34,1,151,0,43,18,0.18,31,0.62
14,182,7.31,0,151,1,43,85,0.85,94,1.88
15,300,2.53,1,151,0,43,146,1.46,149,2.98
16,279,6.20,1,151,1,43,127,1.27,159,3.18
17,208,1.68,0,151,0,43,105,1.05,98,1.96
18,667,12.07,6,151,0,43,340,3.40,337,6.74
19,193,8.37,0,151,1,43,93,0.93,104,2.08
20,47,-0.94,1,151,0,43,28,0.28,22,0.44
21,344,8.49,2,151,0,43,170,1.70,166,3.32
22,464,4.29,3,151,0,43,255,2.55,247,4.94
23,0,-3.00,0,151,0,43,0,0.00,0,0.00
24,111,-2.94,0,151,0,43,56,0.56,56,1.12
25,606,5.17,2,151,0,43,324,3.24,314,6.28
26,52,3.27,1,151,1,43,26,0.26,25,0.50
27,367,2.58,3,151,0,43,192,1.92,177,3.54
28,15,-2.45,0,151,0,43,10,0.10,7,0.14
29,200,5.70,1,151,1,43,101,1.01,97,1.94
30,398,9.63,1,151,1,43,213,2.13,201,4.02
31,109,-4.33,1,151,0,43,62,0.62,48,0.96
32,1181,23.11,3,151,1,43,563,5.63,592,11.84
33,250,9.45,0,151,1,43,123,1.23,124,2.48
34,354,10.19,2,151,1,43,183,1.83,176,3.52
35,670,13.68,3,151,1,43,340,3.40,342,6.84
36,43,-0.72,0,151,0,43,16,0.16,23,0.46
37,562,1.07,0,151,0,43,295,2.95,273,5.46
38,63,4.07,1,151,1,43,36,0.36,33,0.66
39,1881,-1.37,3,151,0,43,922,9.22,973,19.46
40,183,2.84,1,151,0,43,95,0.95,95,1.90
41,486,7.83,1,151,1,43,245,2.45,256,5.12
42,391,12.02,3,151,1,43,191,1.91,190,3.80
43,574,-5.01,3,151,0,43,286,2.86,277,5.54
44,621,9.17,2,151,0,43,310,3.10,290,5.80
45,496,-3.33,1,151,1,43,248,2.48,262,5.24
46,224,0.09,0,151,0,43,130,1.30,120,2.40
47,38,-0.52,1,151,0,43,23,0.23,16,0.32
48,236,-6.99,0,151,0,43,117,1.17,116,2.32
49,89,3.53,0,151,0,43,47,0.47,44,0.88
50,195,0.05,1,151,0,43,105,1.05,107,2.14
51,156,2.10,2,151,0,43,83,0.83,76,1.52
52,166,1.36,0,151,0,43,72,0.72,84,1.68
53,652,8.84,2,151,1,43,338,3.38,333,6.66
54,250,8.67,1,151,1,43,133,1.33,120,2.40
55,336,3.86,1,151,0,43,172,1.72,163,3.26
56,634,12.47,0,151,1,43,290,2.90,326,6.52
57,397,-3.93,2,151,0,43,208,2.08,214,4.28
58,146,9.97,1,151,1,43,66,0.66,72,1.44
59,187,9.42,2,151,1,43,69,0.69,97,1.94
60,121,1.39,2,151,0,43,61,0.61,69,1.38
61,0,-3.00,0,151,0,43,0,0.00,0,0.00
62,355,6.24,4,151,0,43,146,1.46,132,2.64
63,52,4.92,1,151,1,43,24,0.24,27,0.54
64,815,-2.42,1,151,0,43,383,3.83,424,8.48
65,123,0.22,0,151,0,43,63,0.63,73,1.46
66,288,8.69,2,151,1,43,138,1.38,173,3.46
67,32,4.87,1,151,1,43,14,0.14,20,0.40
68,698,6.24,1,151,1,43,314,3.14,338,6.76
69,305,6.06,3,151,0,43,134,1.34,159,3.18
70,292,7.60,3,151,0,43,140,1.40,146,2.92
71,856,16.77,2,151,1,43,380,3.80,409,8.18
72,486,18.03,3,151,2,43,198,1.98,244,4.88
73,79,-0.65,1,151,0,43,33,0.33,38,0.76
74,95,1.26,2,151,0,43,49,0.49,47,0.94
75,709,0.34,0,151,1,43,362,3.62,427,8.54
76,337,2.30,1,151,0,43,156,1.56,166,3.32
77,135,1.37,1,151,0,43,68,0.68,69,1.38
78,1099,9.40,4,151,0,43,485,4.85,616,12.32
79,642,13.11,3,151,1,43,322,3.22,323,6.46
80,46,-1.26,0,151,0,43,22,0.22,28,0.56
81,262,12.24,2,151,1,43,130,1.30,115,2.30
82,52,-0.68,1,151,0,43,22,0.22,31,0.62
83,386,6.86,2,151,0,43,163,1.63,209,4.18
84,116,-0.34,0,151,0,43,38,0.38,61,1.22
85,821,2.38,1,151,1,43,379,3.79,425,8.50
86,78,0.97,1,151,0,43,36,0.36,32,0.64
87,57,-0.20,1,151,0,43,32,0.32,30,0.60
88,186,5.31,2,151,0,43,78,0.78,104,2.08
89,54,-0.97,0,151,0,43,33,0.33,33,0.66
90,50,-1.54,0,151,0,43,20,0.20,22,0.44
91,71,-0.60,1,151,0,43,34,0.34,42,0.84
92,158,1.32,1,151,0,43,77,0.77,87,1.74
93,71,0.31,1,151,0,43,33,0.33,42,0.84
94,57,-0.30,0,151,0,43,24,0.24,23,0.46
95,943,19.14,4,151,1,43,418,4.18,493,9.86
96,16,3.88,1,151,1,43,8,0.08,7,0.14
97,179,2.16,0,151,0,43,84,0.84,85,1.70
98,78,3.10,0,151,1,43,35,0.35,43,0.86
99,616,0.46,4,151,0,43,307,3.07,347,6.94
100,353,7.23,0,151,1,43,140,1.40,177,3.54
101,33,-0.56,1,151,0,43,16,0.16,18,0.36
102,696,15.27,2,151,2,43,312,3.12,323,6.46
103,123,0.24,3,151,0,43,50,0.50,66,1.32
104,398,7.24,1,151,1,43,192,1.92,189,3.78
105,735,13.40,2,151,1,43,374,3.74,357,7.14
106,42,1.54,2,151,0,43,16,0.16,21,0.42
107,71,-0.19,1,151,0,43,29,0.29,44,0.88
108,400,12.52,1,151,1,43,188,1.88,200,4.00
109,423,15.36,5,151,1,43,213,2.13,202,4.04
110,715,10.08,3,151,1,43,353,3.53,384,7.68
111,76,-3.30,0,151,0,43,47,0.47,38,0.76
112,11,0.38,0,150,0,43,3,0.03,8,0.16
113,224,3.41,1,151,0,43,94,0.94,114,2.28
114,281,10.77,2,151,1,43,123,1.23,136,2.72
115,78,0.53,0,151,0,43,26,0.26,33,0.66
116,41,-1.08,1,151,0,43,15,0.15,16,0.32
117,397,12.11,4,151,0,43,174,1.74,183,3.66
118,48,4.23,1,151,1,43,21,0.21,23,0.46
119,179,1.35,2,151,0,43,85,0.85,95,1.90
120,624,7.24,3,151,0,43,280,2.80,328,6.56
121,13,3.75,1,151,1,43,5,0.05,4,0.08
122,132,-0.90,0,151,0,43,56,0.56,67,1.34
123,57,2.82,1,151,0,43,21,0.21,25,0.50
124,139,1.47,0,151,0,43,66,0.66,68,1.36
125,287,9.08,1,151,1,43,114,1.14,128,2.56
126,212,14.09,4,151,1,43,89,0.89,96,1.92
127,106,2.34,1,151,0,43,43,0.43,50,1.00
128,141,-0.92,1,151,0,43,69,0.69,69,1.38
129,646,9.26,4,151,0,43,299,2.99,264,5.28
130,63,-0.29,1,151,0,43,30,0.30,31,0.62
131,88,1.76,2,151,0,43,47,0.47,44,0.88
132,348,8.14,2,151,0,43,127,1.27,161,3.22
133,64,-1.75,0,151,0,43,26,0.26,26,0.52
134,847,2.12,4,151,0,43,350,3.50,414,8.28
135,164,15.61,0,151,2,43,73,0.73,75,1.50
136,121,3.70,1,151,0,43,64,0.64,63,1.26
137,116,-2.21,0,151,0,43,60,0.60,58,1.16
138,382,9.07,1,151,1,43,165,1.65,185,3.70
139,101,7.07,1,151,1,43,39,0.39,59,1.18
140,0,-3.00,0,151,0,43,0,0.00,0,0.00
141,167,2.44,2,151,0,43,85,0.85,71,1.42
142,216,2.79,1,151,0,43,87,0.87,106,2.12
143,134,-1.85,1,151,0,43,64,0.64,73,1.46
144,323,-4.61,1,151,0,43,137,1.37,185,3.70
145,248,12.41,1,151,1,43,106,1.06,127,2.54
146,188,0.91,0,151,1,43,86,0.86,91,1.82
147,96,0.31,1,151,0,43,45,0.45,39,0.78
148,222,8.23,0,151,1,43,96,0.96,109,2.18
149,426,17.08,3,151,2,43,178,1.78,201,4.02
150,387,13.38,2,151,1,43,176,1.76,181,3.62
151,412,9.24,4,151,0,43,168,1.68,217,4.34
152,185,5.65,2,151,0,43,89,0.89,90,1.80
153,395,4.62,1,151,0,43,176,1.76,160,3.20
154,1142,9.48,3,151,1,43,544,5.44,551,11.02
155,229,1.60,1,151,0,43,85,0.85,99,1.98
156,202,9.22,1,151,1,43,96,0.96,109,2.18
157,129,0.24,1,151,0,43,67,0.67,60,1.20
158,187,7.80,2,151,1,43,74,0.74,89,1.78
159,126,6.72,2,151,1,43,61,0.61,59,1.18
160,167,0.93,0,151,0,43,79,0.79,78,1.56
161,441,-3.97,0,151,0,43,201,2.01,254,5.08
162,785,12.42,1,151,1,43,346,3.46,361,7.22
163,433,17.44,3,151,1,43,179,1.79,199,3.98
164,82,1.01,2,151,0,43,38,0.38,33,0.66
165,136,-0.45,0,151,0,43,65,0.65,66,1.32
166,739,16.03,2,151,1,43,322,3.22,353,7.06
167,686,9.90,2,151,0,43,296,2.96,292,5.84
168,294,3.08,1,151,0,43,133,1.33,141,2.82
169,224,3.05,1,151,0,43,88,0.88,97,1.94
170,126,0.58,1,151,0,43,61,0.61,61,1.22
171,86,-5.09,0,149,0,43,39,0.39,50,1.00
172,244,10.60,1,151,1,43,95,0.95,123,2.46
173,254,8.02,0,151,1,43,104,1.04,124,2.48
174,0,-3.00,0,151,0,43,0,0.00,0,0.00
175,43,-5.73,0,151,0,43,15,0.15,25,0.50
176,67,-2.46,0,151,0,43,24,0.24,42,0.84
177,84,-0.78,0,151,0,43,32,0.32,43,0.86
178,75,1.13,1,151,0,43,28,0.28,33,0.66
179,0,-3.00,0,151,0,43,0,0.00,0,0.00
180,177,0.99,1,151,0,43,78,0.78,84,1.68
181,88,1.58,2,151,0,43,36,0.36,44,0.88
182,666,8.31,0,151,0,43,252,2.52,319,6.38
183,301,11.76,2,151,1,43,107,1.07,135,2.70
184,62,5.67,2,151,1,43,29,0.29,23,0.46
185,115,0.54,1,151,0,43,42,0.42,52,1.04
186,129,-1.40,1,151,0,43,59,0.59,62,1.24
187,250,-0.10,3,151,0,43,104,1.04,127,2.54
188,345,16.36,2,151,1,43,118,1.18,144,2.88
189,152,9.82,2,151,1,43,54,0.54,64,1.28
190,486,14.27,2,151,1,43,176,1.76,228,4.56
191,61,6.78,1,151,1,43,16,0.16,36,0.72
192,384,17.89,2,151,1,43,158,1.58,182,3.64
193,541,16.00,3,151,1,43,210,2.10,250,5.00
194,200,1.20,1,151,0,43,83,0.83,89,1.78
195,450,8.32,3,151,0,43,165,1.65,198,3.96
196,157,6.03,3,151,0,43,65,0.65,85,1.70
197,120,-0.15,0,151,0,43,53,0.53,64,1.28
198,299,3.06,1,151,0,43,119,1.19,133,2.66
199,0,-3.00,0,151,0,43,0,0.00,0,0.00
200,323,9.79,2,151,1,43,122,1.22,149,2.98
201,97,1.12,0,151,0,43,24,0.24,35,0.70
202,135,0.30,0,151,0,43,49,0.49,58,1.16
203,148,5.37,2,151,0,43,55,0.55,66,1.32
204,214,4.17,2,151,0,43,89,0.89,103,2.06
205,450,-3.30,3,151,0,43,184,1.84,207,4.14
206,144,7.80,3,151,0,43,58,0.58,63,1.26
207,152,-1.40,0,151,0,43,60,0.60,87,1.74
208,193,6.50,1,151,1,43,76,0.76,93,1.86
209,113,0.30,0,151,0,43,44,0.44,47,0.94
210,57,5.76,1,151,1,43,28,0.28,28,0.56
211,12,-2.61,0,151,0,43,5,0.05,5,0.10
212,84,0.93,1,151,0,43,36,0.36,40,0.80
213,1136,19.05,5,151,2,43,447,4.47,447,8.94
214,99,1.01,2,151,0,43,36,0.36,43,0.86
215,149,0.89,1,151,0,43,65,0.65,61,1.22
216,136,0.13,1,151,0,43,67,0.67,69,1.38
217,233,11.30,2,151,1,43,99,0.99,120,2.40
218,1323,14.66,4,151,1,43,490,4.90,609,12.18
219,276,8.90,1,151,1,43,107,1.07,126,2.52
220,185,8.43,2,151,1,43,71,0.71,98,1.96
221,322,10.71,3,151,0,43,149,1.49,137,2.74
222,213,4.24,2,151,0,43,84,0.84,105,2.10
223,246,13.17,2,151,1,43,76,0.76,106,2.12
224,833,7.00,4,151,1,43,341,3.41,471,9.42
225,61,-1.38,1,151,0,43,21,0.21,31,0.62
226,399,3.45,0,151,0,43,164,1.64,204,4.08
227,438,9.55,1,151,1,43,151,1.51,218,4.36
228,100,7.44,1,151,1,43,29,0.29,46,0.92
229,208,-3.46,0,151,0,43,89,0.89,107,2.14
230,797,29.69,6,151,2,43,299,2.99,359,7.18
231,40,-1.37,1,151,0,43,16,0.16,17,0.34
232,193,8.25,2,151,1,43,73,0.73,89,1.78
233,73,5.85,1,151,1,43,21,0.21,33,0.66
234,673,0.04,1,151,1,43,283,2.83,368,7.36
235,2058,26.87,6,151,1,43,826,8.26,1132,22.64
236,804,13.31,2,151,1,43,288,2.88,377,7.54
237,709,9.99,2,151,1,43,273,2.73,345,6.90
238,93,0.34,0,151,0,43,44,0.44,44,0.88
239,52,-0.56,1,151,0,43,16,0.16,26,0.52
240,46,-1.02,1,151,0,43,19,0.19,26,0.52
241,71,-0.30,1,151,0,43,28,0.28,36,0.72
242,309,5.80,1,151,0,43,136,1.36,147,2.94
243,503,9.67,1,151,1,43,214,2.14,281,5.62
244,73,2.21,0,151,0,43,25,0.25,23,0.46
245,182,2.43,1,151,0,43,59,0.59,85,1.70
246,99,0.50,1,151,0,43,42,0.42,55,1.10
247,43,0.73,1,151,0,43,22,0.22,19,0.38
248,195,3.69,0,151,0,43,72,0.72,84,1.68
249,109,1.43,1,151,0,43,36,0.36,49,0.98
250,59,-1.49,0,151,0,43,19,0.19,28,0.56
251,1132,-9.56,3,151,0,43,505,5.05,521,10.42
252,350,11.68,2,151,1,43,139,1.39,134,2.68
253,23,-1.53,0,151,0,43,7,0.07,11,0.22
254,141,8.59,1,151,1,43,59,0.59,66,1.32
255,101,1.86,1,151,0,43,29,0.29,41,0.82
256,506,18.26,5,151,1,43,198,1.98,205,4.10
257,434,16.69,5,151,1,43,175,1.75,201,4.02
258,583,8.20,2,151,1,43,219,2.19,306,6.12
259,382,10.38,5,151,0,43,168,1.68,175,3.50
260,414,13.71,3,151,1,43,163,1.63,189,3.78
261,346,5.57,3,151,0,43,126,1.26,169,3.38
262,130,0.87,1,151,0,43,53,0.53,61,1.22
263,487,4.87,2,151,1,43,189,1.89,267,5.34
264,98,4.88,1,151,0,43,34,0.34,47,0.94
265,2605,2.87,4,151,2,43,1125,11.25,1336,26.72
266,53,-0.50,0,151,0,43,21,0.21,20,0.40
267,45,4.53,1,151,1,43,20,0.20,25,0.50
268,244,3.86,1,151,0,43,100,1.00,107,2.14
269,508,16.86,4,151,1,43,212,2.12,205,4.10
270,1214,23.75,4,151,1,43,459,4.59,548,10.96
271,86,4.33,1,151,0,43,33,0.33,43,0.86
272,0,-3.00,0,151,0,43,0,0.00,0,0.00
273,215,7.71,1,151,1,43,73,0.73,94,1.88
274,472,5.31,2,151,0,43,186,1.86,216,4.32
275,251,8.56,2,151,0,43,87,0.87,112,2.24
276,136,6.14,0,151,1,43,53,0.53,71,1.42
277,112,0.03,0,151,0,43,52,0.52,50,1.00
278,168,5.28,2,151,0,43,76,0.76,81,1.62
279,2631,25.37,6,151,2,43,1000,10.00,1240,24.80
280,43,-1.28,0,151,0,43,15,0.15,22,0.44
281,105,-0.46,0,151,0,43,44,0.44,50,1.00
282,61,-1.33,1,151,0,43,28,0.28,26,0.52
283,54,-0.68,1,151,0,43,15,0.15,24,0.48
284,153,7.59,0,151,1,43,57,0.57,78,1.56
285,527,-4.25,2,151,0,43,218,2.18,303,6.06
286,553,2.34,1,151,0,43,246,2.46,318,6.36
287,788,19.04,2,151,1,43,315,3.15,354,7.08
288,2100,-4.28,2,151,1,43,906,9.06,928,18.56
289,196,-3.82,1,151,0,43,77,0.77,85,1.70
290,1082,8.64,2,151,1,43,445,4.45,543,10.86
291,581,-4.91,1,151,0,43,286,2.86,257,5.14
292,37,3.24,0,151,1,43,10,0.10,14,0.28
293,202,4.08,2,151,0,43,90,0.90,89,1.78
294,123,-0.09,0,151,0,43,41,0.41,60,1.20
295,836,19.01,4,151,1,43,320,3.20,376,7.52
296,58,1.62,2,151,0,43,26,0.26,26,0.52
297,494,12.10,1,151,1,43,188,1.88,220,4.40
298,50,3.79,1,151,1,43,24,0.24,24,0.48
299,1626,4.09,3,151,0,43,648,6.48,719,14.38
300,91,-0.52,0,151,0,43,35,0.35,40,0.80
301,1057,22.31,5,151,1,43,427,4.27,564,11.28
302,434,2.86,1,151,0,43,176,1.76,184,3.68
303,223,8.54,0,151,1,43,97,0.97,102,2.04
304,210,4.88,1,151,0,43,88,0.88,111,2.22
305,201,1.90,1,151,0,43,74,0.74,85,1.70
306,271,9.22,2,151,0,43,106,1.06,129,2.58
307,1624,-1.74,2,151,1,43,678,6.78,765,15.30
308,80,-0.52,0,151,0,43,28,0.28,39,0.78
309,44,4.72,1,151,1,43,12,0.12,18,0.36
310,61,-2.80,0,151,0,43,24,0.24,38,0.76
311,126,1.30,2,151,0,43,51,0.51,54,1.08
312,1853,-7.03,1,151,1,43,714,7.14,893,17.86
313,74,-0.26,1,151,0,43,28,0.28,24,0.48
314,48,-1.37,1,151,0,43,14,0.14,28,0.56
315,88,0.02,0,151,0,43,33,0.33,33,0.66
316,116,1.63,1,151,0,43,43,0.43,57,1.14
317,483,3.84,0,151,0,43,191,1.91,218,4.36
318,1025,10.82,1,151,1,43,491,4.91,442,8.84
319,318,1.85,2,151,0,43,147,1.47,154,3.08
320,257,1.42,2,151,0,43,104,1.04,145,2.90
321,68,2.90,1,151,0,43,30,0.30,30,0.60
322,63,0.62,2,151,0,43,21,0.21,37,0.74
323,106,-0.03,0,151,0,43,39,0.39,48,0.96
