Episode,Steps,Reward,CoinsCollected,TotalCoins,CheckpointsCollected,TotalCheckpoints,JumpCount,JumpPenalty,DashCount,DashPenalty,CumulativeAvgSteps,CumulativeAvgRewards
1,279,-14.55,2,144,0,43,140,1.40,130,2.60,279,-19.93449
2,15,19.47,1,144,1,43,7,0.07,8,0.16,147,-1.85611
3,120,-15.91,0,144,0,43,64,0.64,60,1.20,138,-7.154305
4,350,-13.81,2,144,1,43,170,1.70,171,3.42,191,-11.02754
5,501,-62.19,3,144,1,43,247,2.47,240,4.80,253,-23.59502
6,171,-10.20,2,144,0,43,87,0.87,97,1.94,239,-22.06158
7,325,-52.75,1,144,0,43,156,1.56,151,3.02,251,-27.19852
8,184,10.85,2,144,1,43,93,0.93,80,1.60,243,-23.22266
9,764,-80.60,3,144,0,43,368,3.68,380,7.60,301,-31.08276
10,256,17.20,1,144,2,43,111,1.11,124,2.48,296,-27.14847
11,183,-35.98,0,144,0,43,95,0.95,97,1.94,286,-28.2139
12,458,-34.16,3,144,1,43,220,2.20,233,4.66,300,-29.64829
13,991,-192.47,2,144,1,43,511,5.11,535,10.70,353,-43.67511
14,158,-12.52,0,144,0,43,64,0.64,59,1.18,339,-41.57944
15,230,5.14,2,144,1,43,104,1.04,117,2.34,332,-38.93801
16,167,15.82,2,144,1,43,96,0.96,74,1.48,322,-35.90008
17,246,0.47,2,144,1,43,130,1.30,122,2.44,317,-34.1994
18,154,-9.89,2,144,0,43,84,0.84,92,1.84,308,-33.07497
19,212,-9.41,2,144,0,43,104,1.04,112,2.24,303,-32.07526
20,40,0.83,1,144,0,43,22,0.22,20,0.40,290,-30.4959
21,234,-18.22,1,144,0,43,120,1.20,124,2.48,287,-30.1194
22,183,-12.49,1,144,0,43,89,0.89,86,1.72,282,-29.46806
23,168,-34.63,1,144,0,43,89,0.89,83,1.66,277,-29.83362
24,95,-10.09,1,144,0,43,46,0.46,40,0.80,270,-29.0926
25,397,-38.26,2,144,0,43,189,1.89,201,4.02,275,-29.75121
26,596,-57.62,2,144,0,43,328,3.28,288,5.76,287,-31.22438
27,78,-7.68,1,144,0,43,50,0.50,51,1.02,279,-30.4344
28,3468,-644.87,7,144,3,43,1770,17.70,1701,34.02,393,-54.64856
